	entry_ac	go_id	go_descr	architecture
32	Q9NZC7	0001649	osteoblast differentiation	PF00106;PF00397
33	Q9NZC7	0055114	oxidation-reduction process	PF00106;PF00397
34	Q9NZC7	2001238	positive regulation of extrinsic apoptotic signaling pathway	PF00106;PF00397
35	Q9NZC7	2001241	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand	PF00106;PF00397
36	Q9NZC7	0045944	positive regulation of transcription by RNA polymerase II	PF00106;PF00397
37	Q9NZC7	0048705	skeletal system morphogenesis	PF00106;PF00397
38	Q9NZC7	0008202	steroid metabolic process	PF00106;PF00397
39	Q9NZC7	0016055	Wnt signaling pathway	PF00106;PF00397
40	Q9GZV5	0005737	cytoplasm	PF00397
41	Q9GZV5	0005829	cytosol	PF00397
42	Q9GZV5	0016604	nuclear body	PF00397
43	Q9GZV5	0005654	nucleoplasm	PF00397
44	Q9GZV5	0005634	nucleus	PF00397
45	Q9GZV5	0005667	transcription factor complex	PF00397
46	Q9GZV5	0042803	protein homodimerization activity	PF00397
47	Q9GZV5	0003713	transcription coactivator activity	PF00397
48	Q9GZV5	0003714	transcription corepressor activity	PF00397
49	Q9GZV5	0060271	cilium assembly	PF00397
50	Q9GZV5	0032835	glomerulus development	PF00397
51	Q9GZV5	0003015	heart process	PF00397
52	Q9GZV5	0035329	hippo signaling	PF00397
53	Q9GZV5	0060993	kidney morphogenesis	PF00397
54	Q9GZV5	0048762	mesenchymal cell differentiation	PF00397
55	Q9GZV5	0035264	multicellular organism growth	PF00397
56	Q9GZV5	0090090	negative regulation of canonical Wnt signaling pathway	PF00397
57	Q9GZV5	0045599	negative regulation of fat cell differentiation	PF00397
58	Q9GZV5	0006469	negative regulation of protein kinase activity	PF00397
59	Q9GZV5	0001933	negative regulation of protein phosphorylation	PF00397
60	Q9GZV5	0000122	negative regulation of transcription by RNA polymerase II	PF00397
61	Q9GZV5	0001649	osteoblast differentiation	PF00397
62	Q9GZV5	0008284	positive regulation of cell population proliferation	PF00397
63	Q9GZV5	0010718	positive regulation of epithelial to mesenchymal transition	PF00397
64	Q9GZV5	0045944	positive regulation of transcription by RNA polymerase II	PF00397
65	Q9GZV5	0016567	protein ubiquitination	PF00397
66	Q9GZV5	0072307	regulation of metanephric nephron tubule epithelial cell differentiation	PF00397
67	Q9GZV5	0060390	regulation of SMAD protein signal transduction	PF00397
68	Q9GZV5	0006355	regulation of transcription, DNA-templated	PF00397
69	Q9GZV5	0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	PF00397
70	Q9GZV5	0017145	stem cell division	PF00397
71	Q9GZV5	0001894	tissue homeostasis	PF00397
72	Q9GZV5	0006367	transcription initiation from RNA polymerase II promoter	PF00397
73	Q8N3X1	0016607	nuclear speck	PF00397
74	Q5VWI1	0005634	nucleus	PF01846
75	O15428	0005829	cytosol	PF00397
76	O15428	0005634	nucleus	PF00397
77	O15428	0003755	peptidyl-prolyl cis-trans isomerase activity	PF00397
78	Q6IQ23	0030054	cell junction	PF00169
79	Q6IQ23	0005813	centrosome	PF00169
80	Q6IQ23	0005829	cytosol	PF00169
81	Q6IQ23	0070062	extracellular exosome	PF00169
82	Q6IQ23	0005654	nucleoplasm	PF00169
83	Q6IQ23	0046930	pore complex	PF00169
84	Q6IQ23	0005915	zonula adherens	PF00169
85	Q6IQ23	0070097	delta-catenin binding	PF00169
86	Q6IQ23	0044331	cell-cell adhesion mediated by cadherin	PF00169
87	Q6IQ23	0090136	epithelial cell-cell adhesion	PF00169
88	Q6IQ23	0046931	pore complex assembly	PF00169
89	Q6IQ23	0045218	zonula adherens maintenance	PF00169
90	Q6AWC2	0005829	cytosol	PF00397
91	Q6AWC2	0019900	kinase binding	PF00397
92	Q6AWC2	0060090	molecular adaptor activity	PF00397
93	Q6AWC2	0035331	negative regulation of hippo signaling	PF00397
94	Q6AWC2	0046621	negative regulation of organ growth	PF00397
95	Q6AWC2	0000122	negative regulation of transcription by RNA polymerase II	PF00397
96	Q9HCE7	0030424	axon	PF00168;PF00397;PF00632
97	Q9HCE7	0005623	cell	PF00168;PF00397;PF00632
98	Q9HCE7	0005737	cytoplasm	PF00168;PF00397;PF00632
99	Q9HCE7	0005829	cytosol	PF00168;PF00397;PF00632
100	Q9HCE7	0070062	extracellular exosome	PF00168;PF00397;PF00632
101	Q9HCE7	0043025	neuronal cell body	PF00168;PF00397;PF00632
102	Q9HCE7	0005654	nucleoplasm	PF00168;PF00397;PF00632
103	Q9HCE7	0005886	plasma membrane	PF00168;PF00397;PF00632
104	Q9HCE7	0048185	activin binding	PF00168;PF00397;PF00632
105	Q9HCE7	0070411	I-SMAD binding	PF00168;PF00397;PF00632
106	Q9HCE7	0005543	phospholipid binding	PF00168;PF00397;PF00632
107	Q9HCE7	0070412	R-SMAD binding	PF00168;PF00397;PF00632
108	Q9HCE7	0061630	ubiquitin protein ligase activity	PF00168;PF00397;PF00632
109	Q9HCE7	0004842	ubiquitin-protein transferase activity	PF00168;PF00397;PF00632
110	Q9HCE7	0030509	BMP signaling pathway	PF00168;PF00397;PF00632
111	Q9HCE7	0030154	cell differentiation	PF00168;PF00397;PF00632
112	Q9HCE7	0007398	ectoderm development	PF00168;PF00397;PF00632
113	Q9HCE7	0061736	engulfment of target by autophagosome	PF00168;PF00397;PF00632
114	Q9HCE7	0030514	negative regulation of BMP signaling pathway	PF00168;PF00397;PF00632
115	Q9HCE7	0030279	negative regulation of ossification	PF00168;PF00397;PF00632
116	Q9HCE7	0030512	negative regulation of transforming growth factor beta receptor signaling pathway	PF00168;PF00397;PF00632
117	Q9HCE7	0061734	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization	PF00168;PF00397;PF00632
118	Q9HCE7	1903861	positive regulation of dendrite extension	PF00168;PF00397;PF00632
119	Q9HCE7	0045732	positive regulation of protein catabolic process	PF00168;PF00397;PF00632
120	Q9HCE7	2000060	positive regulation of ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632
121	Q9HCE7	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632
122	Q9HCE7	0006611	protein export from nucleus	PF00168;PF00397;PF00632
123	Q9HCE7	0034394	protein localization to cell surface	PF00168;PF00397;PF00632
124	Q9HCE7	0072659	protein localization to plasma membrane	PF00168;PF00397;PF00632
125	Q9HCE7	0000209	protein polyubiquitination	PF00168;PF00397;PF00632
126	Q9HCE7	0071211	protein targeting to vacuole involved in autophagy	PF00168;PF00397;PF00632
127	Q9HCE7	0016567	protein ubiquitination	PF00168;PF00397;PF00632
128	Q9HCE7	0032801	receptor catabolic process	PF00168;PF00397;PF00632
129	Q9HCE7	0061753	substrate localization to autophagosome	PF00168;PF00397;PF00632
130	Q9HCE7	0007179	transforming growth factor beta receptor signaling pathway	PF00168;PF00397;PF00632
131	Q9HCE7	0006511	ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632
132	Q9HCE7	0030579	ubiquitin-dependent SMAD protein catabolic process	PF00168;PF00397;PF00632
133	Q9HCE7	0060071	Wnt signaling pathway, planar cell polarity pathway	PF00168;PF00397;PF00632
134	Q9BYW2	0005694	chromosome	PF00397;PF00856;PF08236;PF17907
135	Q9BYW2	0005654	nucleoplasm	PF00397;PF00856;PF08236;PF17907
136	Q9BYW2	0005634	nucleus	PF00397;PF00856;PF08236;PF17907
137	Q9BYW2	0043014	alpha-tubulin binding	PF00397;PF00856;PF08236;PF17907
138	Q9BYW2	0046975	histone methyltransferase activity (H3-K36 specific)	PF00397;PF00856;PF08236;PF17907
139	Q9BYW2	0018024	histone-lysine N-methyltransferase activity	PF00397;PF00856;PF08236;PF17907
140	Q9BYW2	0046872	metal ion binding	PF00397;PF00856;PF08236;PF17907
141	Q9BYW2	0016279	protein-lysine N-methyltransferase activity	PF00397;PF00856;PF08236;PF17907
142	Q9BYW2	0001525	angiogenesis	PF00397;PF00856;PF08236;PF17907
143	Q9BYW2	0035441	cell migration involved in vasculogenesis	PF00397;PF00856;PF08236;PF17907
144	Q9BYW2	0060977	coronary vasculature morphogenesis	PF00397;PF00856;PF08236;PF17907
145	Q9BYW2	0051607	defense response to virus	PF00397;PF00856;PF08236;PF17907
146	Q9BYW2	0048701	embryonic cranial skeleton morphogenesis	PF00397;PF00856;PF08236;PF17907
147	Q9BYW2	0060669	embryonic placenta morphogenesis	PF00397;PF00856;PF08236;PF17907
148	Q9BYW2	0035987	endodermal cell differentiation	PF00397;PF00856;PF08236;PF17907
149	Q9BYW2	0030900	forebrain development	PF00397;PF00856;PF08236;PF17907
150	Q9BYW2	0097676	histone H3-K36 dimethylation	PF00397;PF00856;PF08236;PF17907
151	Q9BYW2	0097198	histone H3-K36 trimethylation	PF00397;PF00856;PF08236;PF17907
152	Q9BYW2	0048332	mesoderm morphogenesis	PF00397;PF00856;PF08236;PF17907
153	Q9BYW2	1902850	microtubule cytoskeleton organization involved in mitosis	PF00397;PF00856;PF08236;PF17907
154	Q9BYW2	0006298	mismatch repair	PF00397;PF00856;PF08236;PF17907
155	Q9BYW2	0001763	morphogenesis of a branching structure	PF00397;PF00856;PF08236;PF17907
156	Q9BYW2	0001843	neural tube closure	PF00397;PF00856;PF08236;PF17907
157	Q9BYW2	0034728	nucleosome organization	PF00397;PF00856;PF08236;PF17907
158	Q9BYW2	0018026	peptidyl-lysine monomethylation	PF00397;PF00856;PF08236;PF17907
159	Q9BYW2	0018023	peptidyl-lysine trimethylation	PF00397;PF00856;PF08236;PF17907
160	Q9BYW2	0060039	pericardium development	PF00397;PF00856;PF08236;PF17907
161	Q9BYW2	0032727	positive regulation of interferon-alpha production	PF00397;PF00856;PF08236;PF17907
162	Q9BYW2	0032465	regulation of cytokinesis	PF00397;PF00856;PF08236;PF17907
163	Q9BYW2	0010569	regulation of double-strand break repair via homologous recombination	PF00397;PF00856;PF08236;PF17907
164	Q9BYW2	0010793	regulation of mRNA export from nucleus	PF00397;PF00856;PF08236;PF17907
165	Q9BYW2	1905634	regulation of protein localization to chromatin	PF00397;PF00856;PF08236;PF17907
166	Q9BYW2	0006355	regulation of transcription, DNA-templated	PF00397;PF00856;PF08236;PF17907
167	Q9BYW2	0034340	response to type I interferon	PF00397;PF00856;PF08236;PF17907
168	Q9BYW2	0048864	stem cell development	PF00397;PF00856;PF08236;PF17907
169	Q9BYW2	0048863	stem cell differentiation	PF00397;PF00856;PF08236;PF17907
170	Q9BYW2	0006368	transcription elongation from RNA polymerase II promoter	PF00397;PF00856;PF08236;PF17907
171	Q9HAU0	0005829	cytosol	PF00169;PF00397
172	Q9HAU0	0098978	glutamatergic synapse	PF00169;PF00397
173	Q9HAU0	0016020	membrane	PF00169;PF00397
174	Q9HAU0	0005654	nucleoplasm	PF00169;PF00397
175	Q9HAU0	0014069	postsynaptic density	PF00169;PF00397
176	Q9HAU0	0080025	phosphatidylinositol-3,5-bisphosphate binding	PF00169;PF00397
177	Q9HAU0	0032266	phosphatidylinositol-3-phosphate binding	PF00169;PF00397
178	Q9HAU0	0070273	phosphatidylinositol-4-phosphate binding	PF00169;PF00397
179	Q9HAU0	0010314	phosphatidylinositol-5-phosphate binding	PF00169;PF00397
180	Q9HAU0	0061458	reproductive system development	PF00169;PF00397
181	Q9HAU4	0005737	cytoplasm	PF00168;PF00397;PF00632
182	Q9HAU4	0005829	cytosol	PF00168;PF00397;PF00632
183	Q9HAU4	0045121	membrane raft	PF00168;PF00397;PF00632
184	Q9HAU4	0016607	nuclear speck	PF00168;PF00397;PF00632
185	Q9HAU4	0005654	nucleoplasm	PF00168;PF00397;PF00632
186	Q9HAU4	0005634	nucleus	PF00168;PF00397;PF00632
187	Q9HAU4	0005886	plasma membrane	PF00168;PF00397;PF00632
188	Q9HAU4	0000151	ubiquitin ligase complex	PF00168;PF00397;PF00632
189	Q9HAU4	0042802	identical protein binding	PF00168;PF00397;PF00632
190	Q9HAU4	0046332	SMAD binding	PF00168;PF00397;PF00632
191	Q9HAU4	0005160	transforming growth factor beta receptor binding	PF00168;PF00397;PF00632
192	Q9HAU4	0061630	ubiquitin protein ligase activity	PF00168;PF00397;PF00632
193	Q9HAU4	0004842	ubiquitin-protein transferase activity	PF00168;PF00397;PF00632
194	Q9HAU4	0030509	BMP signaling pathway	PF00168;PF00397;PF00632
195	Q9HAU4	0030514	negative regulation of BMP signaling pathway	PF00168;PF00397;PF00632
196	Q9HAU4	0000122	negative regulation of transcription by RNA polymerase II	PF00168;PF00397;PF00632
197	Q9HAU4	0045892	negative regulation of transcription, DNA-templated	PF00168;PF00397;PF00632
198	Q9HAU4	0030512	negative regulation of transforming growth factor beta receptor signaling pathway	PF00168;PF00397;PF00632
199	Q9HAU4	0090263	positive regulation of canonical Wnt signaling pathway	PF00168;PF00397;PF00632
200	Q9HAU4	0045732	positive regulation of protein catabolic process	PF00168;PF00397;PF00632
201	Q9HAU4	1901165	positive regulation of trophoblast cell migration	PF00168;PF00397;PF00632
202	Q9HAU4	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632
203	Q9HAU4	0016579	protein deubiquitination	PF00168;PF00397;PF00632
204	Q9HAU4	0000209	protein polyubiquitination	PF00168;PF00397;PF00632
205	Q9HAU4	0016567	protein ubiquitination	PF00168;PF00397;PF00632
206	Q9HAU4	0017015	regulation of transforming growth factor beta receptor signaling pathway	PF00168;PF00397;PF00632
207	Q9HAU4	0006511	ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632
208	Q9HAU4	0030579	ubiquitin-dependent SMAD protein catabolic process	PF00168;PF00397;PF00632
209	Q9HAU4	0060071	Wnt signaling pathway, planar cell polarity pathway	PF00168;PF00397;PF00632
210	Q6ZWJ1	0070062	extracellular exosome	PF00397;PF00595
211	Q6ZWJ1	0045335	phagocytic vesicle	PF00397;PF00595
212	Q6ZWJ1	0019905	syntaxin binding	PF00397;PF00595
213	Q6ZWJ1	0006974	cellular response to DNA damage stimulus	PF00397;PF00595
214	Q6ZWJ1	0071346	cellular response to interferon-gamma	PF00397;PF00595
215	Q6ZWJ1	0008286	insulin receptor signaling pathway	PF00397;PF00595
216	Q6ZWJ1	1902808	positive regulation of cell cycle G1/S phase transition	PF00397;PF00595
217	Q6ZWJ1	0010838	positive regulation of keratinocyte proliferation	PF00397;PF00595
218	Q6ZWJ1	0050821	protein stabilization	PF00397;PF00595
219	Q6ZWJ1	0006605	protein targeting	PF00397;PF00595
220	Q6ZWJ1	0010827	regulation of glucose transmembrane transport	PF00397;PF00595
221	Q6ZWJ1	0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	PF00397;PF00595
222	Q76N89	0005737	cytoplasm	PF00168;PF00397;PF00632;PF16562;PF18436
223	Q76N89	0005829	cytosol	PF00168;PF00397;PF00632;PF16562;PF18436
224	Q76N89	0061630	ubiquitin protein ligase activity	PF00168;PF00397;PF00632;PF16562;PF18436
225	Q76N89	0090090	negative regulation of canonical Wnt signaling pathway	PF00168;PF00397;PF00632;PF16562;PF18436
226	Q76N89	2000650	negative regulation of sodium ion transmembrane transporter activity	PF00168;PF00397;PF00632;PF16562;PF18436
227	Q76N89	0045732	positive regulation of protein catabolic process	PF00168;PF00397;PF00632;PF16562;PF18436
228	Q76N89	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632;PF16562;PF18436
229	Q76N89	0000209	protein polyubiquitination	PF00168;PF00397;PF00632;PF16562;PF18436
230	Q76N89	0016567	protein ubiquitination	PF00168;PF00397;PF00632;PF16562;PF18436
231	Q76N89	0048814	regulation of dendrite morphogenesis	PF00168;PF00397;PF00632;PF16562;PF18436
232	Q76N89	0006511	ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632;PF16562;PF18436
233	O14776	0005654	nucleoplasm	PF00397;PF01846
234	O14776	0005634	nucleus	PF00397;PF01846
235	O14776	0042802	identical protein binding	PF00397;PF01846
236	O14776	0070064	proline-rich region binding	PF00397;PF01846
237	O14776	0003723	RNA binding	PF00397;PF01846
238	O14776	0001103	RNA polymerase II repressing transcription factor binding	PF00397;PF01846
239	O14776	0003713	transcription coactivator activity	PF00397;PF01846
240	O14776	0003714	transcription corepressor activity	PF00397;PF01846
241	O14776	0000122	negative regulation of transcription by RNA polymerase II	PF00397;PF01846
242	O14776	0006366	transcription by RNA polymerase II	PF00397;PF01846
243	Q8IWW6	0005737	cytoplasm	PF00169;PF00620;PF14604
244	Q8IWW6	0005829	cytosol	PF00169;PF00620;PF14604
245	Q8IWW6	0001891	phagocytic cup	PF00169;PF00620;PF14604
246	Q8IWW6	0005096	GTPase activator activity	PF00169;PF00620;PF14604
247	Q8IWW6	0007015	actin filament organization	PF00169;PF00620;PF14604
248	Q8IWW6	0002011	morphogenesis of an epithelial sheet	PF00169;PF00620;PF14604
249	Q8IWW6	0051058	negative regulation of small GTPase mediated signal transduction	PF00169;PF00620;PF14604
250	Q8IWW6	0006911	phagocytosis, engulfment	PF00169;PF00620;PF14604
251	Q8IWW6	0043087	regulation of GTPase activity	PF00169;PF00620;PF14604
252	Q8IWW6	0051056	regulation of small GTPase mediated signal transduction	PF00169;PF00620;PF14604
253	Q8IWW6	0007165	signal transduction	PF00169;PF00620;PF14604
254	Q6ZUM4	0005737	cytoplasm	PF00169;PF00397;PF00620
255	Q6ZUM4	0016020	membrane	PF00169;PF00397;PF00620
256	Q6ZUM4	0005096	GTPase activator activity	PF00169;PF00397;PF00620
257	Q6ZUM4	0017124	SH3 domain binding	PF00169;PF00397;PF00620
258	Q6ZUM4	0043547	positive regulation of GTPase activity	PF00169;PF00397;PF00620
259	Q6ZUM4	0006898	receptor-mediated endocytosis	PF00169;PF00397;PF00620
260	Q6ZUM4	0043087	regulation of GTPase activity	PF00169;PF00397;PF00620
261	Q6ZUM4	0007165	signal transduction	PF00169;PF00397;PF00620
262	Q9C0H5	0005737	cytoplasm	PF00620;PF00784
263	Q9C0H5	0005856	cytoskeleton	PF00620;PF00784
264	Q9C0H5	0005829	cytosol	PF00620;PF00784
265	Q9C0H5	0098978	glutamatergic synapse	PF00620;PF00784
266	Q9C0H5	0005634	nucleus	PF00620;PF00784
267	Q9C0H5	0005096	GTPase activator activity	PF00620;PF00784
268	Q9C0H5	0099173	postsynapse organization	PF00620;PF00784
269	Q9C0H5	0051056	regulation of small GTPase mediated signal transduction	PF00620;PF00784
270	Q9C0H5	0007165	signal transduction	PF00620;PF00784
271	Q86UL8	0005923	bicellular tight junction	PF00397;PF00595;PF00625;PF17820
272	Q86UL8	0005911	cell-cell junction	PF00397;PF00595;PF00625;PF17820
273	Q86UL8	0005737	cytoplasm	PF00397;PF00595;PF00625;PF17820
274	Q86UL8	0030425	dendrite	PF00397;PF00595;PF00625;PF17820
275	Q86UL8	0005770	late endosome	PF00397;PF00595;PF00625;PF17820
276	Q86UL8	0005634	nucleus	PF00397;PF00595;PF00625;PF17820
277	Q86UL8	0048471	perinuclear region of cytoplasm	PF00397;PF00595;PF00625;PF17820
278	Q86UL8	0005886	plasma membrane	PF00397;PF00595;PF00625;PF17820
279	Q86UL8	0014069	postsynaptic density	PF00397;PF00595;PF00625;PF17820
280	Q86UL8	0032991	protein-containing complex	PF00397;PF00595;PF00625;PF17820
281	Q86UL8	0036057	slit diaphragm	PF00397;PF00595;PF00625;PF17820
282	Q86UL8	0045202	synapse	PF00397;PF00595;PF00625;PF17820
283	Q86UL8	0031697	beta-1 adrenergic receptor binding	PF00397;PF00595;PF00625;PF17820
284	Q86UL8	0019902	phosphatase binding	PF00397;PF00595;PF00625;PF17820
285	Q86UL8	0030159	receptor signaling complex adaptor activity	PF00397;PF00595;PF00625;PF17820
286	Q86UL8	0046332	SMAD binding	PF00397;PF00595;PF00625;PF17820
287	Q86UL8	0070699	type II activin receptor binding	PF00397;PF00595;PF00625;PF17820
288	Q86UL8	1990090	cellular response to nerve growth factor stimulus	PF00397;PF00595;PF00625;PF17820
289	Q86UL8	0072015	glomerular visceral epithelial cell development	PF00397;PF00595;PF00625;PF17820
290	Q86UL8	0071850	mitotic cell cycle arrest	PF00397;PF00595;PF00625;PF17820
291	Q86UL8	0032926	negative regulation of activin receptor signaling pathway	PF00397;PF00595;PF00625;PF17820
292	Q86UL8	0030336	negative regulation of cell migration	PF00397;PF00595;PF00625;PF17820
293	Q86UL8	0008285	negative regulation of cell population proliferation	PF00397;PF00595;PF00625;PF17820
294	Q86UL8	0051898	negative regulation of protein kinase B signaling	PF00397;PF00595;PF00625;PF17820
295	Q86UL8	0038180	nerve growth factor signaling pathway	PF00397;PF00595;PF00625;PF17820
296	Q86UL8	0097118	neuroligin clustering involved in postsynaptic membrane assembly	PF00397;PF00595;PF00625;PF17820
297	Q86UL8	0003402	planar cell polarity pathway involved in axis elongation	PF00397;PF00595;PF00625;PF17820
298	Q86UL8	0010976	positive regulation of neuron projection development	PF00397;PF00595;PF00625;PF17820
299	Q86UL8	0032516	positive regulation of phosphoprotein phosphatase activity	PF00397;PF00595;PF00625;PF17820
300	Q86UL8	0002092	positive regulation of receptor internalization	PF00397;PF00595;PF00625;PF17820
301	Q86UL8	2000809	positive regulation of synaptic vesicle clustering	PF00397;PF00595;PF00625;PF17820
302	Q86UL8	0051291	protein heterooligomerization	PF00397;PF00595;PF00625;PF17820
303	Q86UL8	0043113	receptor clustering	PF00397;PF00595;PF00625;PF17820
304	Q86UL8	0007165	signal transduction	PF00397;PF00595;PF00625;PF17820
305	Q86UL8	0060395	SMAD protein signal transduction	PF00397;PF00595;PF00625;PF17820
306	Q5TCQ9	0005923	bicellular tight junction	PF00397;PF00595;PF00625;PF17820
307	Q5TCQ9	0030054	cell junction	PF00397;PF00595;PF00625;PF17820
308	Q5TCQ9	0005911	cell-cell junction	PF00397;PF00595;PF00625;PF17820
309	Q5TCQ9	0005737	cytoplasm	PF00397;PF00595;PF00625;PF17820
310	Q5TCQ9	0016020	membrane	PF00397;PF00595;PF00625;PF17820
311	Q5TCQ9	0005634	nucleus	PF00397;PF00595;PF00625;PF17820
312	Q5TCQ9	0005886	plasma membrane	PF00397;PF00595;PF00625;PF17820
313	Q5TCQ9	0005524	ATP binding	PF00397;PF00595;PF00625;PF17820
314	Q5TCQ9	0004385	guanylate kinase activity	PF00397;PF00595;PF00625;PF17820
315	Q5TCQ9	0060090	molecular adaptor activity	PF00397;PF00595;PF00625;PF17820
316	Q5TCQ9	0006915	apoptotic process	PF00397;PF00595;PF00625;PF17820
317	Q5TCQ9	0035556	intracellular signal transduction	PF00397;PF00595;PF00625;PF17820
318	Q5TCQ9	0046328	regulation of JNK cascade	PF00397;PF00595;PF00625;PF17820
319	Q5TCQ9	0007165	signal transduction	PF00397;PF00595;PF00625;PF17820
320	Q5TCQ9	0016032	viral process	PF00397;PF00595;PF00625;PF17820
321	Q9P2P5	0005737	cytoplasm	PF00168;PF00397;PF00632;PF16562;PF18436
322	Q9P2P5	0072686	mitotic spindle	PF00168;PF00397;PF00632;PF16562;PF18436
323	Q9P2P5	0061630	ubiquitin protein ligase activity	PF00168;PF00397;PF00632;PF16562;PF18436
324	Q9P2P5	2000650	negative regulation of sodium ion transmembrane transporter activity	PF00168;PF00397;PF00632;PF16562;PF18436
325	Q9P2P5	0045732	positive regulation of protein catabolic process	PF00168;PF00397;PF00632;PF16562;PF18436
326	Q9P2P5	0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632;PF16562;PF18436
327	Q9P2P5	0000209	protein polyubiquitination	PF00168;PF00397;PF00632;PF16562;PF18436
328	Q9P2P5	0016567	protein ubiquitination	PF00168;PF00397;PF00632;PF16562;PF18436
329	Q9P2P5	0048814	regulation of dendrite morphogenesis	PF00168;PF00397;PF00632;PF16562;PF18436
330	Q9P2P5	0030071	regulation of mitotic metaphase/anaphase transition	PF00168;PF00397;PF00632;PF16562;PF18436
331	Q9P2P5	0006511	ubiquitin-dependent protein catabolic process	PF00168;PF00397;PF00632;PF16562;PF18436
332	Q9BRR9	0005737	cytoplasm	PF00018;PF00169;PF00620
333	Q9BRR9	0005829	cytosol	PF00018;PF00169;PF00620
334	Q9BRR9	0005576	extracellular region	PF00018;PF00169;PF00620
335	Q9BRR9	0034774	secretory granule lumen	PF00018;PF00169;PF00620
336	Q9BRR9	0005096	GTPase activator activity	PF00018;PF00169;PF00620
337	Q9BRR9	0005547	phosphatidylinositol-3,4,5-trisphosphate binding	PF00018;PF00169;PF00620
338	Q9BRR9	0043312	neutrophil degranulation	PF00018;PF00169;PF00620
339	Q9BRR9	0043087	regulation of GTPase activity	PF00018;PF00169;PF00620
340	Q9BRR9	0051056	regulation of small GTPase mediated signal transduction	PF00018;PF00169;PF00620
341	Q9BRR9	0007165	signal transduction	PF00018;PF00169;PF00620
342	Q13526	0005737	cytoplasm	PF00397;PF00639
343	Q13526	0005829	cytosol	PF00397;PF00639
344	Q13526	0098978	glutamatergic synapse	PF00397;PF00639
345	Q13526	0030496	midbody	PF00397;PF00639
346	Q13526	0005739	mitochondrion	PF00397;PF00639
347	Q13526	0043005	neuron projection	PF00397;PF00639
348	Q13526	0016607	nuclear speck	PF00397;PF00639
349	Q13526	0005654	nucleoplasm	PF00397;PF00639
350	Q13526	0005634	nucleus	PF00397;PF00639
351	Q13526	0099524	postsynaptic cytosol	PF00397;PF00639
352	Q13526	0008013	beta-catenin binding	PF00397;PF00639
353	Q13526	0016859	cis-trans isomerase activity	PF00397;PF00639
354	Q13526	0032794	GTPase activating protein binding	PF00397;PF00639
355	Q13526	0031434	mitogen-activated protein kinase kinase binding	PF00397;PF00639
356	Q13526	0003774	motor activity	PF00397;PF00639
