entry_ac	entry_name	protein_name	len	domains	go	pdb_ids	pfam_ids	string_id	cath_ids	PF00397
Q5TCQ9	MAGI3_HUMAN	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)	1481	MAGUK family	bicellular tight junction [GO:0005923]; cell junction [GO:0030054]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]; molecular adaptor activity [GO:0060090]; apoptotic process [GO:0006915]; intracellular signal transduction [GO:0035556]; regulation of JNK cascade [GO:0046328]; signal transduction [GO:0007165]; viral process [GO:0016032]	3SOE;	PF00625;PF00595;PF17820;PF00397;	9606.ENSP00000304604;		True
Q9P2P5	HECW2_HUMAN	E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)	1572		cytoplasm [GO:0005737]; mitotic spindle [GO:0072686]; ubiquitin protein ligase activity [GO:0061630]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of dendrite morphogenesis [GO:0048814]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; ubiquitin-dependent protein catabolic process [GO:0006511]	2LFE;	PF00168;PF00632;PF18436;PF16562;PF00397;	9606.ENSP00000260983;	2.60.40.150;	True
Q13526	PIN1_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	163		cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; midbody [GO:0030496]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic cytosol [GO:0099524]; beta-catenin binding [GO:0008013]; cis-trans isomerase activity [GO:0016859]; GTPase activating protein binding [GO:0032794]; mitogen-activated protein kinase kinase binding [GO:0031434]; motor activity [GO:0003774]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; phosphoprotein binding [GO:0051219]; phosphoserine residue binding [GO:0050815]; phosphothreonine residue binding [GO:0050816]; tau protein binding [GO:0048156]; cell cycle [GO:0007049]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of cell motility [GO:2000146]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein binding [GO:0032091]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of type I interferon production [GO:0032480]; neuron differentiation [GO:0030182]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; positive regulation of GTPase activity [GO:0043547]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein binding [GO:0032092]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein peptidyl-prolyl isomerization [GO:0000413]; protein stabilization [GO:0050821]; regulation of cytokinesis [GO:0032465]; regulation of gene expression [GO:0010468]; regulation of mitotic nuclear division [GO:0007088]; regulation of pathway-restricted SMAD protein phosphorylation [GO:0060393]; regulation of protein localization to nucleus [GO:1900180]; regulation of protein phosphorylation [GO:0001932]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; response to hypoxia [GO:0001666]; synapse organization [GO:0050808]	1F8A;1I6C;1I8G;1I8H;1NMV;1NMW;1PIN;1ZCN;2F21;2ITK;2KBU;2KCF;2LB3;2M8I;2M8J;2M9E;2M9F;2M9I;2M9J;2N1O;2Q5A;2RUC;2RUD;2RUQ;2RUR;2XP3;2XP4;2XP5;2XP6;2XP7;2XP8;2XP9;2XPA;2XPB;2ZQS;2ZQT;2ZQU;2ZQV;2ZR4;2ZR5;2ZR6;3I6C;3IK8;3IKD;3IKG;3JYJ;3KAB;3KAC;3KAD;3KAF;3KAG;3KAH;3KAI;3KCE;3NTP;3ODK;3OOB;3TC5;3TCZ;3TDB;3WH0;4GWT;4GWV;4QIB;4TNS;4TYO;4U84;4U85;4U86;5B3W;5B3X;5B3Y;5B3Z;5BMY;5GPH;5UY9;5VTI;5VTJ;5VTK;6DUN;	PF00639;PF00397;	9606.ENSP00000247970;		True
O75554	WBP4_HUMAN	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	376		nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type precatalytic spliceosome [GO:0071005]; nucleic acid binding [GO:0003676]; proline-rich region binding [GO:0070064]; zinc ion binding [GO:0008270]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]	2DK1;2JXW;5O9Z;6AHD;	PF00397;PF06220;	9606.ENSP00000368801;		True
O00308	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	870		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; RNA polymerase II transcription factor binding [GO:0001085]; transcription factor binding [GO:0008134]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; cellular protein modification process [GO:0006464]; extracellular transport [GO:0006858]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of gene expression [GO:0010629]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein transport [GO:0051224]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transporter activity [GO:0032410]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral entry into host cell [GO:0046718]	4Y07;5TJ7;5TJ8;5TJQ;6J1Z;	PF00632;PF00397;	9606.ENSP00000352069;	2.60.40.150;	True
Q9H4B6	SAV1_HUMAN	Protein salvador homolog 1 (45 kDa WW domain protein) (hWW45)	383		cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; apoptotic process [GO:0006915]; hair follicle development [GO:0001942]; hippo signaling [GO:0035329]; intestinal epithelial cell differentiation [GO:0060575]; keratinocyte differentiation [GO:0030216]; lung epithelial cell differentiation [GO:0060487]; negative regulation of cardiac muscle cell proliferation [GO:0060044]; negative regulation of epithelial cell proliferation [GO:0050680]; positive regulation of apoptotic process [GO:0043065]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of fat cell differentiation [GO:0045600]; protein stabilization [GO:0050821]; regulation of stem cell population maintenance [GO:2000036]; signal transduction [GO:0007165]; ventricular septum morphogenesis [GO:0060412]	6AO5;	PF00397;	9606.ENSP00000324729;		True
Q9H0M0	WWP1_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP1 (EC 2.3.2.26) (Atrophin-1-interacting protein 5) (AIP5) (HECT-type E3 ubiquitin transferase WWP1) (TGIF-interacting ubiquitin ligase 1) (Tiul1) (WW domain-containing protein 1)	922		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; central nervous system development [GO:0007417]; ion transmembrane transport [GO:0034220]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; signal transduction [GO:0007165]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral entry into host cell [GO:0046718]	1ND7;2OP7;5HPS;5HPT;6J1X;6J1Y;	PF00168;PF00632;PF00397;	9606.ENSP00000427793;	2.60.40.150;	True
O75400	PR40A_HUMAN	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	957	PRPF40 family	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]; proline-rich region binding [GO:0070064]; RNA binding [GO:0003723]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell migration [GO:0016477]; cytoskeleton organization [GO:0007010]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; regulation of cell shape [GO:0008360]; regulation of cytokinesis [GO:0032465]	1UZC;1YWI;1YWJ;1ZR7;2CQN;2DYF;2KZG;2L5F;2L9V;2LKS;	PF01846;PF00397;	9606.ENSP00000386458;	1.10.10.440;	True
Q9H4Z3	CAPAM_HUMAN	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (hCAPAM) (Phosphorylated CTD-interacting factor 1) (hPCIF1)	704	CAPAM family	intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity [GO:0016422]; RNA polymerase II C-terminal domain binding [GO:0099122]; S-adenosyl-L-methionine binding [GO:1904047]; mRNA methylation [GO:0080009]; negative regulation of phosphatase activity [GO:0010923]; negative regulation of translation [GO:0017148]; positive regulation of translation [GO:0045727]	2JX8;6IRV;6IRW;	PF12237;PF00397;	9606.ENSP00000361486;		True
Q8IX03	KIBRA_HUMAN	Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1)	1113	WWC family, KIBRA subfamily	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; ruffle membrane [GO:0032587]; kinase binding [GO:0019900]; molecular adaptor activity [GO:0060090]; transcription coactivator activity [GO:0003713]; cell migration [GO:0016477]; establishment of cell polarity [GO:0030010]; hippo signaling [GO:0035329]; negative regulation of hippo signaling [GO:0035331]; negative regulation of organ growth [GO:0046621]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of transcription of Notch receptor target [GO:0007221]; regulation of hippo signaling [GO:0035330]; regulation of intracellular transport [GO:0032386]	2Z0U;6FB4;6FD0;6FJC;6FJD;	PF00397;	9606.ENSP00000427772;	2.60.40.150;	True
Q96PU5	NED4L_HUMAN	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	975		cell [GO:0005623]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; multivesicular body [GO:0005771]; nucleoplasm [GO:0005654]; ion channel binding [GO:0044325]; potassium channel inhibitor activity [GO:0019870]; potassium channel regulator activity [GO:0015459]; sodium channel inhibitor activity [GO:0019871]; sodium channel regulator activity [GO:0017080]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; cellular sodium ion homeostasis [GO:0006883]; excretion [GO:0007588]; ion transmembrane transport [GO:0034220]; negative regulation of potassium ion transmembrane transport [GO:1901380]; negative regulation of potassium ion transmembrane transporter activity [GO:1901017]; negative regulation of protein localization to cell surface [GO:2000009]; negative regulation of sodium ion transmembrane transport [GO:1902306]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of caveolin-mediated endocytosis [GO:2001288]; positive regulation of dendrite extension [GO:1903861]; positive regulation of endocytosis [GO:0045807]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of dendrite morphogenesis [GO:0048814]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane depolarization [GO:0003254]; regulation of membrane potential [GO:0042391]; regulation of membrane repolarization [GO:0060306]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; regulation of protein catabolic process [GO:0042176]; regulation of protein stability [GO:0031647]; response to metal ion [GO:0010038]; sodium ion transport [GO:0006814]; ubiquitin-dependent protein catabolic process [GO:0006511]; ventricular cardiac muscle cell action potential [GO:0086005]; viral life cycle [GO:0019058]; water homeostasis [GO:0030104]	2LAJ;2LB2;2LTY;2MPT;2NSQ;2ONI;3JVZ;3JW0;5HPK;	PF00168;PF00632;PF00397;	9606.ENSP00000383199;	2.60.40.150;	True
P46934	NEDD4_HUMAN	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)	1319		apicolateral plasma membrane [GO:0016327]; cell cortex [GO:0005938]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic cytosol [GO:0099524]; ubiquitin ligase complex [GO:0000151]; beta-2 adrenergic receptor binding [GO:0031698]; enzyme binding [GO:0019899]; ionotropic glutamate receptor binding [GO:0035255]; phosphoserine residue binding [GO:0050815]; phosphothreonine residue binding [GO:0050816]; proline-rich region binding [GO:0070064]; protein domain specific binding [GO:0019904]; RNA polymerase binding [GO:0070063]; sodium channel inhibitor activity [GO:0019871]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; adaptive immune response [GO:0002250]; blood vessel morphogenesis [GO:0048514]; cellular response to UV [GO:0034644]; development involved in symbiotic interaction [GO:0044111]; endocardial cushion development [GO:0003197]; glucocorticoid receptor signaling pathway [GO:0042921]; lysosomal transport [GO:0007041]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; negative regulation of sodium ion transport [GO:0010766]; negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage [GO:0010768]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; neuromuscular junction development [GO:0007528]; neuron projection development [GO:0031175]; outflow tract morphogenesis [GO:0003151]; positive regulation of nucleocytoplasmic transport [GO:0046824]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein catabolic process [GO:0045732]; progesterone receptor signaling pathway [GO:0050847]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein targeting to lysosome [GO:0006622]; protein ubiquitination [GO:0016567]; receptor catabolic process [GO:0032801]; receptor internalization [GO:0031623]; regulation of dendrite morphogenesis [GO:0048814]; regulation of ion transmembrane transport [GO:0034765]; regulation of macroautophagy [GO:0016241]; regulation of membrane potential [GO:0042391]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; regulation of synapse organization [GO:0050807]; response to calcium ion [GO:0051592]; T cell activation [GO:0042110]; transmission of virus [GO:0019089]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]	2KPZ;2KQ0;2M3O;2XBB;2XBF;3B7Y;4BBN;4BE8;4N7F;4N7H;5AHT;5C7J;5C91;	PF00632;PF00397;	9606.ENSP00000424827;	2.60.40.150;	True
P01906	DQA2_HUMAN	HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)	255	MHC class II family	clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; endosome membrane [GO:0010008]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; MHC class II protein complex [GO:0042613]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; transport vesicle membrane [GO:0030658]; MHC class II receptor activity [GO:0032395]; adaptive immune response [GO:0002250]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; immune response [GO:0006955]; interferon-gamma-mediated signaling pathway [GO:0060333]; T cell receptor signaling pathway [GO:0050852]		PF07654;PF00993;	9606.ENSP00000364076;	2.60.40.10;3.10.320.10;	False
Q8IZF6	AGRG4_HUMAN	Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112)	3080	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]		PF00002;PF01825;PF00354;	9606.ENSP00000377699;		False
O60861	GAS7_HUMAN	Growth arrest-specific protein 7 (GAS-7)	476		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; cytoskeletal protein binding [GO:0008092]; DNA-binding transcription factor activity [GO:0003700]; cell cycle arrest [GO:0007050]; neuron differentiation [GO:0030182]; neuron projection morphogenesis [GO:0048812]	2LX7;2YSH;	PF00611;PF14604;PF00397;	9606.ENSP00000407552;	1.20.1270.60;	True
